,bp,position,foot,a/w,d/w
10088,CAM,LM CAM,Right,High,Medium
10089,CAM,LM CAM,Right,High,Medium
10090,LM,LM CAM,Right,Medium,Medium
10091,CAM,LM CAM,Right,High,Medium
10092,RM,LM CAM,Right,Medium,Medium
10093,LM,LM CAM,Right,High,Medium
10094,LM,LM CAM,Right,Medium,Medium
10095,RM,LM CAM,Right,Medium,Medium
10096,CAM,LM CAM,Right,High,Medium
10097,CAM,LM CAM,Right,Medium,Low
10098,CAM,LM CAM,Right,Medium,Medium
10099,CAM,LM CAM,Left,High,Medium
10100,RM,LM CAM,Right,Medium,Medium
10101,CAM,LM CAM,Right,Medium,Medium
10102,CAM,LM CAM,Right,Medium,Medium
10103,CAM,LM CAM,Right,Medium,Medium
10104,CAM,LM CAM,Right,High,Medium
10105,LM,LM CAM,Right,Medium,Medium
10106,ST,LM CAM,Right,Medium,Low
10107,CAM,LM CAM,Right,High,Low
10108,RM,LM CAM,Right,High,Medium
10109,CM,LM CAM CDM,Right,Medium,High
10110,LW,LM CAM CF,Left,Medium,Low
10111,LM,LM CAM CM,Left,High,Low
10112,LM,LM CAM CM,Right,Medium,Medium
10113,CAM,LM CAM CM,Right,High,Medium
10114,CAM,LM CAM CM,Right,Medium,Medium
10115,LM,LM CAM CM,Right,High,Medium
10116,RM,LM CAM LB,Right,High,Medium
10117,LM,LM CAM LB,Right,Medium,Medium
10118,LM,LM CAM LB,Left,Medium,Medium
10119,LM,LM CAM LW,Right,High,Low
10120,CAM,LM CAM LW,Right,High,Medium
10121,LM,LM CAM LW,Right,High,Medium
10122,LM,LM CAM RM,Right,Medium,Medium
10123,LM,LM CAM RM,Left,Medium,Medium
10124,LW,LM CAM RM,Left,High,Medium
10125,LM,LM CAM RM,Right,Medium,Low
10126,CAM,LM CAM RM,Right,High,High
10127,RM,LM CAM RM,Right,High,Medium
10128,CAM,LM CAM RM,Left,Medium,Medium
10129,LM,LM CAM RM,Right,High,Medium
10130,LM,LM CAM RM,Left,Medium,Medium
10131,LM,LM CAM RM,Left,High,Low
10132,RM,LM CAM RM,Right,High,Medium
10133,CAM,LM CAM RM,Right,Medium,Medium
10134,LM,LM CAM RM,Left,Medium,Medium
10135,CAM,LM CAM ST,Right,Medium,Low
10136,LM,LM CAM ST,Left,High,Low
10137,LM,LM CAM ST,Right,High,Medium
10138,CAM,LM CAM ST,Right,High,Low
10139,LM,LM CAM ST,Right,Medium,Medium
10140,LM,LM CAM ST,Right,Medium,Medium
10141,RW,LM CAM ST,Right,Medium,Medium
10142,LM,LM CAM ST,Right,High,Medium
10143,LM,LM CAM ST,Right,High,Low
10144,LM,LM CAM ST,Left,Medium,Medium
10145,RM,LM CDM,Right,High,High
10146,LM,LM CDM,Right,Medium,Medium
10147,LM,LM CF,Right,Medium,Medium
10148,LM,LM CF,Right,Medium,Medium
10149,RM,LM CF,Right,High,High
10150,LM,LM CF,Right,Medium,Medium
10151,LM,LM CF,Right,High,Medium
10152,LM,LM CF,Right,Medium,Medium
10153,CAM,LM CF,Right,Medium,Medium
10154,LM,LM CF,Right,High,High
10155,RW,LM CF,Right,High,Low
10156,RM,LM CF CAM,Right,Medium,Medium
10157,ST,LM CF RM,Left,High,Low
10158,LM,LM CF RM,Left,High,Medium
10159,LM,LM CF ST,Right,Medium,Medium
10160,RM,LM CF ST,Right,Medium,Low
10161,LM,LM CM,Right,Medium,Medium
10162,LM,LM CM,Right,High,High
10163,LM,LM CM,Left,Medium,Medium
10164,LWB,LM CM,Left,High,High
10165,LM,LM CM,Right,Medium,Medium
10166,CAM,LM CM,Right,Medium,Medium
10167,LM,LM CM,Right,High,Medium
10168,CAM,LM CM,Right,Medium,Medium
10169,CAM,LM CM,Left,Medium,Medium
10170,CAM,LM CM,Right,High,Low
10171,CAM,LM CM,Right,High,Low
10172,LWB,LM CM,Left,Medium,Medium
10173,LM,LM CM,Right,Medium,Medium
10174,CAM,LM CM,Left,High,High
10175,ST,LM CM,Left,Medium,Medium
10176,LM,LM CM,Left,Medium,Medium
10177,CAM,LM CM,Left,High,High
10178,LM,LM CM,Left,High,Low
10179,RM,LM CM,Right,High,Medium
10180,RM,LM CM,Right,Medium,Medium
10181,RM,LM CM,Right,Medium,Low
10182,LM,LM CM,Left,Medium,Medium
10183,CAM,LM CM,Right,Medium,Medium
10184,CAM,LM CM CAM,Left,High,High
10185,CAM,LM CM CAM,Right,Medium,Medium
10186,CAM,LM CM CAM,Left,Medium,Medium
10187,LM,LM CM CAM,Right,High,Low
10188,CAM,LM CM CAM,Right,Medium,Low
10189,LM,LM CM CAM,Right,High,Medium
10190,CAM,LM CM CAM,Left,Medium,Low
10191,LM,LM CM CDM,Left,High,Low
10192,CAM,LM CM CDM,Right,High,High
10193,LM,LM CM LB,Left,High,Medium
10194,LM,LM CM LB,Left,High,Medium
10195,LM,LM CM LB,Left,High,Medium
10196,CAM,LM CM RM,Left,High,Medium
10197,LM,LM CM RM,Left,Medium,Medium
10198,CAM,LM CM RM,Left,High,Medium
10199,LM,LM CM RM,Left,High,Medium
10200,LM,LM CM RM,Left,Medium,High
10201,CAM,LM CM RW,Right,High,Medium
10202,LM,LM CM RW,Left,Medium,High
10203,CDM,LM LB,Left,Medium,Medium
10204,LM,LM LB,Left,High,Medium
10205,LM,LM LB,Left,Medium,Medium
10206,LM,LM LB,Left,Medium,High
10207,LM,LM LB,Left,Medium,High
10208,LWB,LM LB,Left,Medium,Medium
10209,LM,LM LB,Left,Medium,Medium
10210,LM,LM LB,Left,High,Medium
10211,RWB,LM LB,Right,High,High
10212,LM,LM LB,Left,Medium,Medium
10213,CDM,LM LB,Left,High,High
10214,LM,LM LB,Left,Medium,Low
10215,LM,LM LB,Left,Medium,Medium
10216,LM,LM LB,Left,Medium,Medium
10217,LM,LM LB,Left,High,High
10218,LM,LM LB,Left,High,Medium
10219,LM,LM LB,Left,Medium,Medium
10220,LM,LM LB,Left,High,Medium
10221,LM,LM LB,Left,Medium,High
10222,LM,LM LB,Left,Medium,Medium
10223,LM,LM LB,Left,High,High
10224,LM,LM LB,Left,Medium,Medium
10225,LM,LM LB,Left,Medium,Medium
10226,LM,LM LB,Left,Medium,Medium
10227,LM,LM LB,Left,Medium,High
10228,LWB,LM LB,Left,Medium,Medium
10229,LM,LM LB,Left,High,High
10230,LM,LM LB,Left,Medium,High
10231,LM,LM LB,Left,Medium,Medium
10232,RWB,LM LB,Right,High,Medium
10233,LM,LM LB,Left,Medium,Medium
10234,LM,LM LB,Left,High,High
10235,LM,LM LB,Left,Medium,Medium
10236,LM,LM LB,Left,High,Medium
10237,LWB,LM LB,Left,High,High
10238,CAM,LM LB,Left,High,Medium
10239,LM,LM LB,Left,Medium,High
10240,LWB,LM LB,Left,Medium,Medium
10241,LM,LM LB,Left,Medium,High
10242,LM,LM LB,Left,High,Medium
10243,LM,LM LB,Left,High,Medium
10244,LM,LM LB,Left,Medium,Medium
10245,LM,LM LB,Left,High,Medium
10246,LM,LM LB,Left,Medium,Medium
10247,LM,LM LB,Left,Medium,Medium
10248,LM,LM LB,Left,Medium,Medium
10249,LM,LM LB CDM,Left,Medium,High
10250,LM,LM LB CF,Left,Medium,Medium
10251,CAM,LM LB CM,Left,Medium,Medium
10252,LM,LM LB CM,Left,Medium,Medium
10253,LM,LM LB CM,Left,Medium,High
10254,LM,LM LB CM,Left,Medium,Medium
10255,LM,LM LB LW,Left,Medium,Medium
10256,LM,LM LB LW,Left,High,Medium
10257,LM,LM LB LW,Left,Medium,Medium
10258,LM,LM LB LW,Left,High,High
10259,LM,LM LB LWB,Left,High,High
10260,LM,LM LB LWB,Left,High,High
10261,RWB,LM LB RB,Right,Medium,Medium
10262,LM,LM LB RB,Right,High,Medium
10263,LM,LM LB RB,Right,Medium,High
10264,LM,LM LB RM,Right,Medium,Medium
10265,LM,LM LW,Right,Medium,Medium
10266,LM,LM LW,Left,High,Medium
10267,RW,LM LW,Right,High,High
10268,LM,LM LW,Right,Medium,Medium
10269,LM,LM LW,Right,Medium,Medium
10270,LW,LM LW,Left,Medium,Low
10271,LM,LM LW,Left,Medium,Medium
10272,CAM,LM LW,Left,High,Medium
10273,LM,LM LW,Right,High,High
10274,LM,LM LW,Left,Medium,Medium
10275,RM,LM LW,Right,Medium,Medium
10276,RM,LM LW,Right,Medium,Low
10277,RM,LM LW,Right,High,Low
10278,CAM,LM LW,Right,High,Medium
10279,LW,LM LW,Left,High,Low
10280,LM,LM LW,Left,Medium,Medium
10281,RW,LM LW,Right,High,Medium
10282,LM,LM LW,Right,High,High
10283,CAM,LM LW,Left,High,Medium
10284,CAM,LM LW,Right,High,Low
10285,LM,LM LW,Right,High,Medium
10286,RM,LM LW,Right,Medium,Medium
10287,LM,LM LW,Left,Medium,Medium
10288,RW,LM LW,Right,High,Low
10289,RM,LM LW,Right,High,Low
10290,CAM,LM LW,Right,High,Medium
10291,RW,LM LW,Right,Medium,Low
10292,LM,LM LW,Left,High,Medium
10293,LM,LM LW,Right,High,Low
10294,RM,LM LW,Right,Medium,Medium
10295,LM,LM LW,Left,High,Low
10296,LW,LM LW,Left,Medium,Medium
10297,LM,LM LW,Right,High,Medium
10298,RM,LM LW,Right,High,Medium
10299,ST,LM LW,Left,High,Low
10300,LM,LM LW,Left,Medium,Low
10301,RM,LM LW,Right,High,Medium
10302,LM,LM LW,Right,High,Low
10303,CAM,LM LW,Right,High,Medium
10304,LM,LM LW,Right,Medium,Medium
10305,LM,LM LW,Left,Medium,Medium
10306,RM,LM LW,Right,Medium,Medium
10307,RM,LM LW,Right,High,Low
10308,RM,LM LW,Right,High,Medium
10309,RM,LM LW,Right,Medium,Medium
10310,LM,LM LW,Left,Medium,Medium
10311,LM,LM LW,Left,Medium,Medium
10312,RM,LM LW,Right,Medium,Low
10313,LM,LM LW,Left,Medium,Low
10314,LM,LM LW,Right,High,Low
10315,CAM,LM LW,Right,Medium,Medium
10316,RM,LM LW,Right,High,Low
10317,LM,LM LW,Right,Medium,Medium
10318,LM,LM LW,Right,High,Medium
10319,CAM,LM LW,Right,High,High
10320,LM,LM LW,Right,Medium,Low
10321,CAM,LM LW CAM,Right,High,Medium
10322,CAM,LM LW CAM,Right,Medium,Low
10323,LM,LM LW CAM,Left,Medium,Low
10324,CAM,LM LW CAM,Right,Medium,Medium
10325,CAM,LM LW CF,Right,High,Low
10326,CAM,LM LW CF,Right,High,Medium
10327,LM,LM LW LB,Left,High,High
10328,LM,LM LW LB,Left,High,High
10329,LM,LM LW LB,Left,High,Medium
10330,CAM,LM LW RM,Right,High,Low
10331,LM,LM LW RM,Right,High,High
10332,LM,LM LW RM,Right,High,High
10333,CAM,LM LW RM,Right,High,Medium
10334,RM,LM LW RM,Right,Medium,Medium
10335,CAM,LM LW RM,Right,Medium,Low
10336,LM,LM LW RM,Right,High,Medium
10337,RM,LM LW RM,Right,Medium,Medium
10338,LM,LM LW RM,Left,High,Medium
10339,LM,LM LW RM,Left,Medium,Medium
10340,LM,LM LW RM,Left,High,Medium
10341,LW,LM LW RM,Left,High,Low
10342,RM,LM LW RM,Right,Medium,Medium
10343,CAM,LM LW RM,Right,High,Medium
10344,LM,LM LW RW,Right,High,High
10345,LM,LM LW RW,Right,High,Low
10346,CAM,LM LW RW,Right,Medium,Medium
10347,LM,LM LW RW,Right,Medium,Medium
10348,LM,LM LW ST,Right,Medium,Medium
10349,CAM,LM LW ST,Right,High,Low
10350,ST,LM LW ST,Right,Medium,Low
10351,LM,LM LW ST,Left,High,Low
10352,RM,LM LW ST,Right,High,Medium
10353,RM,LM LW ST,Right,Medium,Medium
10354,LM,LM LW ST,Right,High,Medium
10355,RW,LM LW ST,Right,High,High
10356,LM,LM LW ST,Left,High,Low
10357,LM,LM LW ST,Right,High,Medium
10358,LM,LM LWB,Left,Medium,Medium
10359,LM,LM LWB,Right,High,Medium
10360,LM,LM LWB,Left,High,High
10361,LM,LM LWB,Left,Medium,Medium
10362,LM,LM LWB,Left,High,Medium
10363,LM,LM LWB,Right,Medium,Medium
10364,LM,LM LWB,Left,High,High
10365,LM,LM LWB,Left,Medium,Medium
10366,LM,LM LWB,Left,High,High
10367,LM,LM LWB,Left,High,Medium
10368,LM,LM LWB CB,Left,Medium,Medium
10369,LM,LM LWB LB,Left,Medium,Medium
10370,LM,LM LWB RW,Left,High,Medium
10371,ST,LM LWB ST,Left,High,High
10372,RWB,LM RB LB,Right,Medium,Medium
10373,LM,LM RB LB,Right,Medium,Medium
10374,LM,LM RM,Right,Medium,Low
10375,LM,LM RM,Right,Medium,Medium
10376,CAM,LM RM,Left,Medium,Medium
10377,RM,LM RM,Right,High,Medium
10378,LM,LM RM,Right,Medium,Medium
10379,RM,LM RM,Right,High,Medium
10380,RM,LM RM,Right,High,Medium
10381,RM,LM RM,Right,Medium,Low
10382,LM,LM RM,Right,High,Low
10383,LW,LM RM,Left,Medium,Medium
10384,CAM,LM RM,Left,Medium,Medium
10385,LM,LM RM,Left,Medium,Medium
10386,LM,LM RM,Left,Medium,Medium
10387,LM,LM RM,Right,Medium,Medium
10388,LM,LM RM,Left,Medium,Medium
10389,LM,LM RM,Left,Medium,Medium
10390,LM,LM RM,Left,Medium,Low
10391,LM,LM RM,Left,Medium,Medium
10392,LM,LM RM,Left,Medium,Medium
10393,RW,LM RM,Right,High,Low
10394,RM,LM RM,Right,Medium,Medium
10395,LM,LM RM,Right,High,Medium
10396,LM,LM RM,Right,High,Low
10397,CAM,LM RM,Left,Medium,Medium
10398,LM,LM RM,Left,Medium,Medium
10399,RW,LM RM,Right,Medium,Medium
10400,CAM,LM RM,Left,Medium,Medium
10401,LM,LM RM,Left,Medium,Medium
10402,LM,LM RM,Right,Medium,Medium
10403,LM,LM RM,Left,Medium,Medium
10404,LM,LM RM,Left,High,High
10405,RM,LM RM,Right,Medium,Medium
10406,LM,LM RM,Left,Low,Low
10407,LM,LM RM,Left,Medium,Medium
10408,LM,LM RM,Right,Medium,Medium
10409,CAM,LM RM,Right,High,Medium
10410,LM,LM RM,Left,High,Medium
10411,CAM,LM RM,Right,High,Medium
10412,LM,LM RM,Right,High,Low
10413,CF,LM RM,Left,High,Low
10414,RM,LM RM,Right,Medium,Medium
10415,LM,LM RM,Left,High,Low
10416,CAM,LM RM,Right,High,Low
10417,LM,LM RM,Right,Medium,Medium
10418,RM,LM RM,Right,High,Medium
10419,LM,LM RM,Right,Medium,Medium
10420,CAM,LM RM,Right,High,Medium
10421,LM,LM RM,Right,Medium,Medium
10422,CAM,LM RM,Right,High,Medium
10423,RM,LM RM,Right,High,High
10424,LW,LM RM,Left,High,High
10425,LM,LM RM,Right,Medium,Medium
10426,RM,LM RM,Right,Medium,Low
10427,LM,LM RM,Left,Medium,Low
10428,RM,LM RM,Right,Medium,Medium
10429,RW,LM RM,Right,Medium,Medium
10430,CAM,LM RM,Left,High,Low
10431,LM,LM RM,Left,High,Low
10432,RM,LM RM,Right,Medium,Low
10433,LM,LM RM,Left,Medium,Medium
10434,RM,LM RM,Right,Medium,Medium
10435,LM,LM RM,Left,Medium,Low
10436,CAM,LM RM,Left,Medium,Low
10437,LM,LM RM,Right,Medium,Medium
10438,LM,LM RM,Right,High,Medium
10439,CAM,LM RM,Right,High,Medium
10440,LM,LM RM,Right,Medium,Medium
10441,LM,LM RM,Right,Medium,Medium
10442,LM,LM RM,Left,Medium,Medium
10443,RM,LM RM,Right,High,Medium
10444,ST,LM RM,Left,Medium,Medium
10445,LM,LM RM,Right,Medium,Low
10446,LM,LM RM,Left,Medium,High
10447,RM,LM RM,Right,Medium,Medium
10448,LM,LM RM,Left,High,Low
10449,LM,LM RM,Right,High,Medium
10450,LM,LM RM,Right,Medium,Medium
10451,CAM,LM RM,Right,Medium,Low
10452,LM,LM RM,Left,High,Low
10453,LW,LM RM,Left,Medium,Medium
10454,LM,LM RM,Left,Medium,Medium
10455,CAM,LM RM,Right,High,Medium
10456,LM,LM RM,Left,High,Medium
10457,LM,LM RM,Left,High,Medium
10458,LM,LM RM,Left,Medium,Medium
10459,LM,LM RM,Right,Medium,Low
10460,RW,LM RM,Right,Medium,Medium
10461,RW,LM RM,Right,High,Medium
10462,LM,LM RM,Right,High,Medium
10463,LM,LM RM,Left,Medium,Medium
10464,RM,LM RM,Right,High,Medium
10465,LM,LM RM,Right,Medium,Medium
10466,LM,LM RM,Left,Medium,Medium
10467,RM,LM RM,Right,High,Medium
10468,LM,LM RM,Right,Medium,Low
10469,LM,LM RM,Right,High,Low
10470,RM,LM RM,Right,High,Low
10471,ST,LM RM,Right,High,Medium
10472,LM,LM RM,Right,Medium,Medium
10473,CAM,LM RM,Right,High,Medium
10474,LM,LM RM,Left,High,Medium
10475,LM,LM RM,Left,High,Medium
10476,RM,LM RM,Right,Medium,Medium
10477,CAM,LM RM,Right,Medium,Low
10478,LM,LM RM,Right,Medium,Medium
10479,RW,LM RM,Right,Medium,Medium
10480,LM,LM RM,Right,High,Low
10481,RM,LM RM,Right,High,Medium
10482,LM,LM RM,Right,Medium,Medium
10483,RM,LM RM,Right,Medium,Low
10484,LM,LM RM,Right,Medium,Medium
10485,RM,LM RM,Right,High,Low
10486,ST,LM RM,Left,Medium,Medium
10487,CAM,LM RM,Right,Medium,Medium
10488,CAM,LM RM,Left,High,Medium
10489,LM,LM RM,Left,Medium,Medium
10490,LM,LM RM,Left,Medium,Medium
10491,LM,LM RM,Right,Medium,Medium
10492,RM,LM RM,Right,High,Medium
10493,LM,LM RM,Right,High,Medium
10494,RM,LM RM,Right,Medium,Medium
10495,RM,LM RM,Right,Medium,Medium
10496,LM,LM RM,Left,High,Medium
10497,LM,LM RM,Left,Medium,Low
10498,LM,LM RM,Right,Medium,Low
10499,CAM,LM RM,Right,Medium,Medium
10500,RM,LM RM,Right,High,Medium
10501,CAM,LM RM,Right,Medium,Medium
10502,LM,LM RM,Left,High,Medium
10503,RM,LM RM,Right,Medium,Medium
10504,CAM,LM RM,Right,High,Low
10505,RM,LM RM,Right,High,Low
10506,RW,LM RM,Right,Medium,Low
10507,LM,LM RM,Left,Medium,Medium
10508,RM,LM RM,Right,Medium,Medium
10509,LM,LM RM,Left,Medium,Low
10510,ST,LM RM,Left,High,High
10511,LM,LM RM,Right,High,Medium
10512,LM,LM RM,Left,Medium,Medium
10513,LM,LM RM,Left,High,High
10514,RM,LM RM,Right,High,Medium
10515,RM,LM RM,Right,High,High
10516,RM,LM RM,Right,Medium,Medium
10517,RM,LM RM,Right,Medium,Low
10518,LM,LM RM,Left,High,Low
10519,RM,LM RM,Right,High,Medium
10520,RM,LM RM,Right,High,Low
10521,LM,LM RM,Right,Medium,Low
10522,LM,LM RM,Right,Medium,Medium
10523,LM,LM RM,Right,High,Medium
10524,ST,LM RM,Right,High,Medium
10525,LM,LM RM,Left,High,Medium
10526,RM,LM RM,Right,High,Medium
10527,LM,LM RM,Left,Medium,Low
10528,LM,LM RM,Right,High,Medium
10529,LM,LM RM,Right,Medium,Medium
10530,RM,LM RM,Right,Medium,Medium
10531,LM,LM RM,Left,High,Medium
10532,LM,LM RM,Left,Medium,Medium
10533,RM,LM RM,Right,Medium,Medium
10534,LM,LM RM,Right,Medium,Medium
10535,CAM,LM RM,Right,High,Medium
10536,CAM,LM RM,Left,High,Medium
10537,RW,LM RM,Right,High,Medium
10538,RM,LM RM,Right,Medium,Medium
10539,RM,LM RM,Right,High,Medium
10540,RW,LM RM,Right,High,Medium
10541,CAM,LM RM,Right,Medium,High
10542,LM,LM RM,Left,Medium,Medium
10543,ST,LM RM,Right,High,High
10544,RM,LM RM,Right,High,Medium
10545,LM,LM RM,Left,High,Medium
10546,LM,LM RM,Left,Medium,Medium
10547,LM,LM RM,Right,Medium,Low
10548,RM,LM RM,Right,High,Medium
10549,LM,LM RM,Right,High,Medium
10550,LM,LM RM,Right,High,Medium
10551,LM,LM RM,Right,High,Medium
10552,RM,LM RM,Right,Medium,Medium
10553,ST,LM RM,Right,Medium,Medium
10554,LM,LM RM,Left,High,Medium
10555,CAM,LM RM,Left,Medium,Medium
10556,RM,LM RM,Right,Medium,Medium
10557,ST,LM RM,Right,Medium,Medium
10558,LM,LM RM,Right,Medium,Medium
10559,RM,LM RM,Right,High,Low
10560,LM,LM RM,Right,High,Medium
10561,LM,LM RM,Right,Medium,Low
10562,ST,LM RM,Right,Medium,Medium
10563,CAM,LM RM,Right,High,Medium
10564,LM,LM RM,Right,Medium,Medium
10565,RM,LM RM,Right,Medium,Medium
10566,LM,LM RM,Left,Medium,Low
10567,LM,LM RM,Left,High,Medium
10568,LM,LM RM,Right,High,Low
10569,LM,LM RM,Left,High,High
10570,RM,LM RM,Right,Medium,Medium
10571,LM,LM RM,Right,Medium,Medium
10572,RM,LM RM,Right,Medium,Medium
10573,LM,LM RM,Right,High,Medium
10574,RM,LM RM CAM,Right,High,High
10575,CF,LM RM CAM,Right,Medium,Medium
10576,LM,LM RM CAM,Right,Medium,Low
10577,LM,LM RM CAM,Right,Medium,Medium
10578,RM,LM RM CAM,Right,Medium,Low
10579,CAM,LM RM CAM,Left,Medium,Medium
10580,RM,LM RM CAM,Right,High,Low
10581,RM,LM RM CAM,Right,High,Medium
10582,CAM,LM RM CAM,Left,Medium,Medium
10583,RM,LM RM CAM,Right,High,Medium
10584,CAM,LM RM CAM,Left,Medium,Medium
10585,LM,LM RM CAM,Left,Medium,Medium
10586,LM,LM RM CAM,Left,Medium,Low
10587,RW,LM RM CAM,Right,High,Medium
10588,CAM,LM RM CAM,Right,Medium,Low
10589,LM,LM RM CAM,Right,Medium,Medium
10590,CAM,LM RM CAM,Left,Medium,Medium
10591,LM,LM RM CAM,Right,Medium,Medium
10592,RM,LM RM CAM,Right,High,Medium
10593,RM,LM RM CAM,Right,Medium,Medium
10594,RM,LM RM CAM,Right,Medium,Medium
10595,CAM,LM RM CAM,Left,Medium,Low
10596,CAM,LM RM CAM,Right,Medium,Low
10597,CAM,LM RM CAM,Right,Medium,Medium
10598,LM,LM RM CAM,Right,High,Medium
10599,CAM,LM RM CAM,Right,Medium,Medium
10600,RM,LM RM CAM,Right,Medium,Medium
10601,ST,LM RM CAM,Right,High,Medium
10602,RM,LM RM CAM,Right,Medium,Low
10603,LM,LM RM CAM,Left,Medium,Medium
10604,LM,LM RM CAM,Left,Medium,Medium
10605,LM,LM RM CAM,Right,High,Low
10606,CAM,LM RM CAM,Left,High,Medium
10607,LM,LM RM CB,Left,Medium,High
10608,RW,LM RM CF,Right,High,Medium
10609,LM,LM RM CF,Right,High,High
10610,LM,LM RM CM,Right,Medium,Medium
10611,LM,LM RM CM,Right,High,High
10612,LM,LM RM CM,Right,High,Medium
10613,LM,LM RM CM,Right,High,Medium
10614,LM,LM RM CM,Right,Medium,Medium
10615,LM,LM RM CM,Left,Medium,Medium
10616,LM,LM RM CM,Left,Medium,Medium
10617,CAM,LM RM CM,Right,High,Low
10618,LM,LM RM CM,Left,High,Low
10619,RM,LM RM CM,Right,Medium,Medium
10620,LM,LM RM LB,Left,Medium,Low
10621,LM,LM RM LB,Right,High,Medium
10622,CAM,LM RM LW,Right,High,Medium
10623,LM,LM RM LW,Right,Medium,Medium
10624,LM,LM RM LW,Left,High,Medium
10625,LM,LM RM LW,Right,High,Low
10626,RM,LM RM LW,Right,Medium,Low
10627,RM,LM RM LW,Right,Medium,Low
10628,LM,LM RM LW,Right,High,Medium
10629,LM,LM RM LW,Right,High,Medium
10630,CAM,LM RM LW,Right,High,Low
10631,CAM,LM RM LWB,Left,High,Medium
10632,LM,LM RM LWB,Left,Medium,Medium
10633,LM,LM RM LWB,Left,Medium,Medium
10634,RM,LM RM RB,Right,Medium,Medium
10635,LM,LM RM RB,Right,Medium,Medium
10636,LM,LM RM RB,Right,High,Medium
10637,RM,LM RM RB,Right,Medium,Medium
10638,LM,LM RM RB,Right,Medium,Medium
10639,LM,LM RM RB,Right,High,Low
10640,LM,LM RM RB,Right,Medium,Medium
10641,RM,LM RM RB,Right,Medium,Medium
10642,CAM,LM RM RW,Left,High,High
10643,LM,LM RM RW,Right,High,Medium
10644,CAM,LM RM RW,Right,Medium,Medium
10645,RM,LM RM RW,Right,Medium,Medium
10646,LM,LM RM RW,Right,High,Medium
10647,LM,LM RM RW,Right,High,Medium
10648,LM,LM RM ST,Left,Medium,Low
10649,LM,LM RM ST,Right,Medium,High
10650,LM,LM RM ST,Right,Medium,Medium
10651,RM,LM RM ST,Right,High,Low
10652,RM,LM RM ST,Right,High,Medium
10653,RM,LM RM ST,Right,High,Medium
10654,ST,LM RM ST,Right,Medium,Medium
10655,CAM,LM RM ST,Right,Medium,Medium
10656,LM,LM RM ST,Left,High,Low
10657,RM,LM RM ST,Right,Medium,Medium
10658,RM,LM RM ST,Right,Medium,Medium
10659,LW,LM RM ST,Left,Medium,Medium
10660,LM,LM RM ST,Right,Medium,Medium
10661,RM,LM RM ST,Right,Medium,Medium
10662,LM,LM RM ST,Right,Medium,High
10663,RW,LM RM ST,Right,High,Medium
10664,ST,LM RM ST,Right,High,Low
10665,CAM,LM RM ST,Right,Medium,Medium
10666,RM,LM RM ST,Right,High,Medium
10667,LM,LM RM ST,Left,Medium,Low
10668,LM,LM RM ST,Right,High,Medium
10669,RM,LM RM ST,Right,Medium,Low
10670,LM,LM RM ST,Right,High,Low
10671,CAM,LM RM ST,Left,High,Low
10672,CAM,LM RM ST,Right,Medium,Medium
10673,ST,LM RM ST,Right,Medium,High
10674,LM,LM RW,Left,Medium,Medium
10675,RM,LM RW,Right,Medium,Medium
10676,RM,LM RW,Right,Medium,Low
10677,CAM,LM RW,Right,Medium,Medium
10678,CF,LM RW,Right,High,High
10679,LM,LM RW,Left,Medium,Medium
10680,LM,LM RW LW,Left,High,Medium
10681,RM,LM RW RM,Right,Medium,Medium
10682,RM,LM RW RM,Right,High,Medium
10683,LM,LM RW RM,Left,High,Medium
10684,LM,LM RWB RM,Right,Medium,High
10685,LM,LM ST,Right,High,Medium
10686,CAM,LM ST,Right,Medium,Low
10687,ST,LM ST,Left,High,Low
10688,ST,LM ST,Left,High,Low
10689,RM,LM ST,Right,Medium,Medium
10690,LM,LM ST,Left,High,Medium
10691,LM,LM ST,Right,Medium,Low
10692,LW,LM ST,Left,High,Low
10693,LM,LM ST,Right,High,Medium
10694,LM,LM ST,Right,High,Medium
10695,ST,LM ST,Right,Medium,Medium
10696,RM,LM ST,Right,Medium,Medium
10697,RM,LM ST,Right,Medium,Medium
10698,LM,LM ST,Right,High,Medium
10699,LM,LM ST,Right,High,Medium
10700,LM,LM ST,Left,High,Medium
10701,LM,LM ST,Right,High,Medium
10702,RM,LM ST,Right,High,High
10703,ST,LM ST,Right,Medium,Low
10704,RM,LM ST,Right,High,Low
10705,RM,LM ST,Right,High,Low
10706,LM,LM ST,Right,High,Medium
10707,ST,LM ST,Left,Medium,Medium
10708,ST,LM ST,Right,Medium,Medium
10709,LM,LM ST,Right,Medium,Medium
10710,LM,LM ST,Right,Medium,Medium
10711,CAM,LM ST,Right,Medium,Low
10712,LM,LM ST,Right,High,High
10713,LM,LM ST,Right,High,Medium
10714,LM,LM ST,Right,High,Medium
10715,LM,LM ST,Right,High,Medium
10716,RM,LM ST,Right,Medium,Medium
10717,ST,LM ST,Left,Medium,Medium
10718,LM,LM ST,Right,Medium,Medium
10719,ST,LM ST,Left,High,Medium
10720,RM,LM ST,Right,High,Low
10721,RM,LM ST,Right,High,Medium
10722,ST,LM ST,Right,Medium,Medium
10723,CAM,LM ST,Left,High,Low
10724,LM,LM ST,Right,High,Medium
10725,RM,LM ST,Right,High,High
10726,ST,LM ST,Right,High,Low
10727,ST,LM ST,Right,High,Low
10728,RM,LM ST,Right,Medium,Medium
10729,ST,LM ST,Left,Medium,Medium
10730,RM,LM ST,Right,High,Medium
